"","Sample","TF_1Pos","TF_1Neg","TF_2Pos","TF_2Neg","TF_3Pos","TF_3Neg","TF_4Pos","TF_4Neg","TF_5Pos","TF_5Neg","Weight_100_101","Weight_10_11","Number_Condition","10_20","20_30","30_40","40_50","20_21","30_31","40_41","50_51","AddingSand_Chance","RemovingSand_Chance","AddingSand_Num","RemovingSand_Num","AddingSand_How","RemovingSand_How","Sand_Num_Coded","Sand_How_Coded"
"26","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Infant","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","100","","Guessing correctly ","","100","chance"
"27","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Infant","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","1000","","luck","","1000","chance"
"28","Prolific","","True - I agree with this statement","True - I agree with this statement","","","","","","","True - I agree with this statement","No, I think I would not be able to tell which weighs more","","Infant","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","1000","","Chance","1000","chance"
"29","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Infant","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","perhaps a few hundred","","hyper sensitivity","3000","felt"
"30","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","1000","","exceptional skill and intuition","1000","felt"
"31","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Infant","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","Above chance (>50%)","Above chance (>50%)","50% (completely guessing) -- I would have no sense of which is heavier","","100","","Either they could see through the blindfold or are very lucky at guessing","","100","chance"
"32","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","False - I disagree with this statement","","","No, I think I would not be able to tell which weighs more","Adult","Above chance (>50%)","At chance (50%)","At chance (50%)","Above chance (>50%)","At chance (50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","100","","They could feel the person putting the grain of sand in the bag ","100","felt"
"33","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Adult","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","250","","chance","","250","chance"
"34","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","1000","","Being able to hear the sand drop on one side. ","1000","cheated"
"35","Prolific","False - I disagree with this statement","","","True - I agree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","1,000","","cheating","","1000","cheated"
"36","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","Above chance (>50%)","50% (completely guessing) -- I would have no sense of which is heavier","","250","","TOTAL LUCK!","","250","chance"
"37","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Infant","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","500","","It was just a series of good guesses.","500","chance"
"38","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Infant","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","750","","They're cheating by peeking, having someone signal them, etc.","","750","cheated"
"39","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","1000","","luck","1000","chance"
"40","Prolific","","True - I agree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","100","","Chance","","100","chance"
"41","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","No, I think I would not be able to tell which weighs more","Infant","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","50","","Guessing","","50","chance"
"42","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Infant","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","200","","They had lucky guesses","","200","chance"
"43","Prolific","True - I agree with this statement","","","True - I agree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Infant","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","500","","The only way I could perceive them guessing it right multiple times in a row is if they are using outside interference, such as sound or feeling of the grain of sand being removed. I believe it is nearly impossible to notice the difference in weight between one grain of sand.","","500","cheated"
"44","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","150","","lucky guesses","150","chance"
"45","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","Above 50% -- I would have some sense of which is heavier","","60000","","luck","","60000","chance"
"46","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Infant","Above chance (>50%)","At chance (50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","100","","Luck","","100","chance"
"47","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","ten","","they can sense the difference in weight easily.","10","felt"
"48","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Infant","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","50","","good at guessing","50","chance"
"49","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Infant","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","20","","Lucky guesses","20","chance"
"50","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Infant","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","500","","Lucky guess","500","chance"
"51","Prolific","","True - I agree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","Yes, I think I would be able to tell which weighs more","","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","","Above 50% -- I would have some sense of which is heavier","","20 grains","","The additional weight gained from each grain of sand added.","20","felt"
"52","Prolific","","True - I agree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Infant","At chance (50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","2000","","Guessing","2000","chance"
"53","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","250","","Cheated","","250","cheated"
"54","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","No, I think I would not be able to tell which weighs more","Infant","Above chance (>50%)","At chance (50%)","At chance (50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","5000","","Good at guessing.","5000","chance"
"55","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Adult","Above chance (>50%)","Above chance (>50%)","At chance (50%)","Above chance (>50%)","At chance (50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","1000+","","Luck","","1000","chance"
"56","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","True - I agree with this statement","No, I think I would not be able to tell which weighs more","","Adult","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","200","","Guessing ","","200","chance"
"57","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","No, I think I would not be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","At chance (50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","500","","Luck","","500","chance"
"58","Prolific","True - I agree with this statement","","","True - I agree with this statement","","","","","True - I agree with this statement","","","No, I think I would not be able to tell which weighs more","Adult","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","Above chance (>50%)","At chance (50%)","Above chance (>50%)","Above chance (>50%)","50% (completely guessing) -- I would have no sense of which is heavier","","700","","They were either lucky or they could definitely tell which bag had 1 less grain of sand in it.","","700","felt"
"59","Prolific","","True - I agree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Infant","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","100","","luck","100","chance"
"60","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","True - I agree with this statement","No, I think I would not be able to tell which weighs more","","Infant","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","450","","good at guessing or they cheated","450","chance"
"61","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Infant","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","500","","Because it's always a 50% chance to guess the correct answer it stands to reason someone would eventually guess correctly three times ","500","chance"
"62","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","1000","","Sheer luck","","1000","chance"
"63","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Infant","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","300","","outside stimuli.  hearing the action or feeling the bag ruffled.","300","cheated"
"64","Prolific","False - I disagree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","No, I think I would not be able to tell which weighs more","Adult","At chance (50%)","Above chance (>50%)","At chance (50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","handful or at least 500 grains","","they peaked","500","felt"
"65","Prolific","False - I disagree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","No, I think I would not be able to tell which weighs more","Infant","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","1000","","Chance.","","1000","chance"
"66","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Infant","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","1000","","Luck","","1000","chance"
"67","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","No, I think I would not be able to tell which weighs more","Infant","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","200","","They cheated.   I doubt it was possible for them to do.   In this circumstance it is just chance, and I doubt anyone is that lucky.","200","cheated"
"68","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","True - I agree with this statement","No, I think I would not be able to tell which weighs more","","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","200","","They guessed","","200","chance"
"69","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Infant","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","100","","Luck","100","chance"
"70","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","True - I agree with this statement","No, I think I would not be able to tell which weighs more","","Adult","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","1111","","Chance","1111","chance"
"71","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Infant","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","750","","The blindfold wasn't working","750","cheated"
"72","Prolific","","True - I agree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","Yes, I think I would be able to tell which weighs more","","Infant","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","1000","","cheating","","1000","cheated"
